date,GDP,gdp_yoy
1958-05-01,476.599,0.43953805302274773
1958-06-01,481.22,0.8843435208123029
1958-07-01,485.841,1.324532315585314
1958-08-01,490.4123333333333,2.6078848187111037
1958-09-01,494.9836666666667,3.899545065903176
1958-10-01,499.555,5.199593989015816
1958-11-01,503.14666666666665,6.5034982797889995
1958-12-01,506.73833333333334,7.820948917120107
1959-01-01,510.33,9.152158104119422
1959-02-01,514.4376666666667,9.683680416869823
1959-03-01,518.5453333333334,10.211860324081679
1959-04-01,522.653,10.736729254329646
1959-05-01,523.4466666666667,9.829577205715223
1959-06-01,524.2403333333333,8.939847332474393
1959-07-01,525.034,8.067042509792287
1959-08-01,526.2226666666667,7.302086611470493
1959-09-01,527.4113333333333,6.551259940563692
1959-10-01,528.6,5.814174615407719
1959-11-01,533.2826666666667,5.989506041975856
1959-12-01,537.9653333333333,6.1623520357317885
1960-01-01,542.648,6.332765073579849
1960-02-01,542.1253333333334,5.382122745029694
1960-03-01,541.6026666666667,4.446541478854948
1960-04-01,541.08,3.52566616856691
1960-05-01,542.5880000000001,3.6567877020263095
1960-06-01,544.096,3.787512216089195
1960-07-01,545.604,3.9178415112164355
1960-08-01,543.8016666666667,3.3406010636815475
1960-09-01,541.9993333333333,2.7659625567393986
1960-10-01,540.197,2.193908437381764
1960-11-01,541.804,1.5979018006710533
1960-12-01,543.4110000000001,1.012270926999026
1961-01-01,545.018,0.4367472099777503
1961-02-01,548.527,1.1808462495757288
1961-03-01,552.036,1.926381455531967
1961-04-01,555.545,2.6733569897242404
1961-05-01,559.5846666666666,3.1325179817221382
1961-06-01,563.6243333333333,3.5891337803132695
1961-07-01,567.664,4.043225489549185
1961-08-01,571.98,5.181729858618778
1961-09-01,576.2959999999999,6.327806061262065
1961-10-01,580.612,7.481529886319249
1961-11-01,585.079,7.987205705384226
1961-12-01,589.546,8.489890708874137
1962-01-01,594.013,8.989611352285621
1962-02-01,596.1306666666667,8.67845460053318
1962-03-01,598.2483333333333,8.37125356558872
1962-04-01,600.366,8.06793329073252
1962-05-01,603.253,7.803704414107138
1962-06-01,606.14,7.543263154595281
1962-07-01,609.027,7.286528650751167
1962-08-01,610.1113333333334,6.666550112474812
1962-09-01,611.1956666666666,6.055857869335668
1962-10-01,612.28,5.454244831315913
1962-11-01,615.4106666666667,5.184200196326771
1962-12-01,618.5413333333333,4.918247826858857
1963-01-01,621.672,4.656295400942412
1963-02-01,624.3653333333333,4.736321790748321
1963-03-01,627.0586666666667,4.815781629145088
1963-04-01,629.752,4.894680911310756
1963-05-01,634.6493333333333,5.204505130241088
1963-06-01,639.5466666666666,5.511378009480761
1963-07-01,644.444,5.815341520162476
1963-08-01,647.6086666666666,6.145982099441949
1963-09-01,650.7733333333333,6.475449487807228
1963-10-01,653.938,6.803749918338009
1963-11-01,659.2326666666667,7.120773553919557
1963-12-01,664.5273333333333,7.434588041542889
1964-01-01,669.822,7.745241863876773
1964-02-01,672.7726666666666,7.753046293409405
1964-03-01,675.7233333333334,7.7607836799959085
1964-04-01,678.674,7.7684548838272915
1964-05-01,683.1263333333333,7.638391384638643
1964-06-01,687.5786666666667,7.510319809865318
