,TableName,SeriesCode,LineNumber,LineDescription,TimePeriod,METRIC_NAME,CL_UNIT,UNIT_MULT,DataValue,NoteRef
157,T20600,A065RC,1,Personal income,2014M02,Current Dollars,Level,6,"14,456,374",T20600
158,T20600,A065RC,1,Personal income,2014M03,Current Dollars,Level,6,"14,555,031",T20600
159,T20600,A065RC,1,Personal income,2014M04,Current Dollars,Level,6,"14,624,484",T20600
160,T20600,A065RC,1,Personal income,2014M05,Current Dollars,Level,6,"14,689,457",T20600
161,T20600,A065RC,1,Personal income,2014M06,Current Dollars,Level,6,"14,760,146",T20600
162,T20600,A065RC,1,Personal income,2014M07,Current Dollars,Level,6,"14,821,135",T20600
163,T20600,A065RC,1,Personal income,2014M08,Current Dollars,Level,6,"14,894,240",T20600
164,T20600,A065RC,1,Personal income,2014M09,Current Dollars,Level,6,"14,951,248",T20600
165,T20600,A065RC,1,Personal income,2014M10,Current Dollars,Level,6,"15,022,708",T20600
166,T20600,A065RC,1,Personal income,2014M11,Current Dollars,Level,6,"15,094,024",T20600
167,T20600,A065RC,1,Personal income,2014M12,Current Dollars,Level,6,"15,170,853",T20600
168,T20600,A065RC,1,Personal income,2015M01,Current Dollars,Level,6,"15,230,752",T20600
169,T20600,A065RC,1,Personal income,2015M02,Current Dollars,Level,6,"15,313,335",T20600
170,T20600,A065RC,1,Personal income,2015M03,Current Dollars,Level,6,"15,314,157",T20600
171,T20600,A065RC,1,Personal income,2015M04,Current Dollars,Level,6,"15,373,499",T20600
172,T20600,A065RC,1,Personal income,2015M05,Current Dollars,Level,6,"15,442,660",T20600
173,T20600,A065RC,1,Personal income,2015M06,Current Dollars,Level,6,"15,479,044",T20600
174,T20600,A065RC,1,Personal income,2015M07,Current Dollars,Level,6,"15,518,600",T20600
175,T20600,A065RC,1,Personal income,2015M08,Current Dollars,Level,6,"15,550,543",T20600
176,T20600,A065RC,1,Personal income,2015M09,Current Dollars,Level,6,"15,570,473",T20600
177,T20600,A065RC,1,Personal income,2015M10,Current Dollars,Level,6,"15,608,045",T20600
178,T20600,A065RC,1,Personal income,2015M11,Current Dollars,Level,6,"15,615,366",T20600
179,T20600,A065RC,1,Personal income,2015M12,Current Dollars,Level,6,"15,668,419",T20600
180,T20600,A065RC,1,Personal income,2016M01,Current Dollars,Level,6,"15,695,460",T20600
181,T20600,A065RC,1,Personal income,2016M02,Current Dollars,Level,6,"15,695,882",T20600
182,T20600,A065RC,1,Personal income,2016M03,Current Dollars,Level,6,"15,731,625",T20600
183,T20600,A065RC,1,Personal income,2016M04,Current Dollars,Level,6,"15,758,926",T20600
184,T20600,A065RC,1,Personal income,2016M05,Current Dollars,Level,6,"15,777,158",T20600
185,T20600,A065RC,1,Personal income,2016M06,Current Dollars,Level,6,"15,821,382",T20600
186,T20600,A065RC,1,Personal income,2016M07,Current Dollars,Level,6,"15,891,460",T20600
187,T20600,A065RC,1,Personal income,2016M08,Current Dollars,Level,6,"15,931,277",T20600
188,T20600,A065RC,1,Personal income,2016M09,Current Dollars,Level,6,"15,999,142",T20600
189,T20600,A065RC,1,Personal income,2016M10,Current Dollars,Level,6,"16,059,430",T20600
190,T20600,A065RC,1,Personal income,2016M11,Current Dollars,Level,6,"16,107,553",T20600
191,T20600,A065RC,1,Personal income,2016M12,Current Dollars,Level,6,"16,182,502",T20600
192,T20600,A065RC,1,Personal income,2017M01,Current Dollars,Level,6,"16,293,292",T20600
193,T20600,A065RC,1,Personal income,2017M02,Current Dollars,Level,6,"16,363,509",T20600
194,T20600,A065RC,1,Personal income,2017M03,Current Dollars,Level,6,"16,415,083",T20600
195,T20600,A065RC,1,Personal income,2017M04,Current Dollars,Level,6,"16,475,996",T20600
196,T20600,A065RC,1,Personal income,2017M05,Current Dollars,Level,6,"16,573,214",T20600
197,T20600,A065RC,1,Personal income,2017M06,Current Dollars,Level,6,"16,604,002",T20600
198,T20600,A065RC,1,Personal income,2017M07,Current Dollars,Level,6,"16,665,906",T20600
199,T20600,A065RC,1,Personal income,2017M08,Current Dollars,Level,6,"16,733,733",T20600
200,T20600,A065RC,1,Personal income,2017M09,Current Dollars,Level,6,"16,841,895",T20600
201,T20600,A065RC,1,Personal income,2017M10,Current Dollars,Level,6,"16,930,751",T20600
202,T20600,A065RC,1,Personal income,2017M11,Current Dollars,Level,6,"16,997,528",T20600
203,T20600,A065RC,1,Personal income,2017M12,Current Dollars,Level,6,"17,058,165",T20600
204,T20600,A065RC,1,Personal income,2018M01,Current Dollars,Level,6,"17,141,709",T20600
205,T20600,A065RC,1,Personal income,2018M02,Current Dollars,Level,6,"17,204,090",T20600
206,T20600,A065RC,1,Personal income,2018M03,Current Dollars,Level,6,"17,268,180",T20600
207,T20600,A065RC,1,Personal income,2018M04,Current Dollars,Level,6,"17,328,723",T20600
208,T20600,A065RC,1,Personal income,2018M05,Current Dollars,Level,6,"17,404,353",T20600
209,T20600,A065RC,1,Personal income,2018M06,Current Dollars,Level,6,"17,488,446",T20600
210,T20600,A065RC,1,Personal income,2018M07,Current Dollars,Level,6,"17,587,569",T20600
211,T20600,A065RC,1,Personal income,2018M08,Current Dollars,Level,6,"17,663,951",T20600
212,T20600,A065RC,1,Personal income,2018M09,Current Dollars,Level,6,"17,693,469",T20600
213,T20600,A065RC,1,Personal income,2018M10,Current Dollars,Level,6,"17,749,775",T20600
214,T20600,A065RC,1,Personal income,2018M11,Current Dollars,Level,6,"17,795,678",T20600
215,T20600,A065RC,1,Personal income,2018M12,Current Dollars,Level,6,"18,012,372",T20600
216,T20600,A065RC,1,Personal income,2019M01,Current Dollars,Level,6,"18,053,903",T20600
217,T20600,A065RC,1,Personal income,2019M02,Current Dollars,Level,6,"18,151,405",T20600
218,T20600,A065RC,1,Personal income,2019M03,Current Dollars,Level,6,"18,229,464",T20600
219,T20600,A065RC,1,Personal income,2019M04,Current Dollars,Level,6,"18,262,144",T20600
220,T20600,A065RC,1,Personal income,2019M05,Current Dollars,Level,6,"18,277,001",T20600
221,T20600,A065RC,1,Personal income,2019M06,Current Dollars,Level,6,"18,310,504",T20600
222,T20600,A065RC,1,Personal income,2019M07,Current Dollars,Level,6,"18,328,601",T20600
223,T20600,A065RC,1,Personal income,2019M08,Current Dollars,Level,6,"18,423,603",T20600
224,T20600,A065RC,1,Personal income,2019M09,Current Dollars,Level,6,"18,474,389",T20600
225,T20600,A065RC,1,Personal income,2019M10,Current Dollars,Level,6,"18,549,514",T20600
226,T20600,A065RC,1,Personal income,2019M11,Current Dollars,Level,6,"18,630,688",T20600
227,T20600,A065RC,1,Personal income,2019M12,Current Dollars,Level,6,"18,583,757",T20600
228,T20600,A065RC,1,Personal income,2020M01,Current Dollars,Level,6,"18,821,549",T20600
229,T20600,A065RC,1,Personal income,2020M02,Current Dollars,Level,6,"18,925,601",T20600
230,T20600,A065RC,1,Personal income,2020M03,Current Dollars,Level,6,"18,577,358",T20600
231,T20600,A065RC,1,Personal income,2020M04,Current Dollars,Level,6,"20,750,922",T20600
232,T20600,A065RC,1,Personal income,2020M05,Current Dollars,Level,6,"19,877,159",T20600
233,T20600,A065RC,1,Personal income,2020M06,Current Dollars,Level,6,"19,920,900",T20600
234,T20600,A065RC,1,Personal income,2020M07,Current Dollars,Level,6,"20,191,530",T20600
235,T20600,A065RC,1,Personal income,2020M08,Current Dollars,Level,6,"19,594,199",T20600
236,T20600,A065RC,1,Personal income,2020M09,Current Dollars,Level,6,"19,744,908",T20600
237,T20600,A065RC,1,Personal income,2020M10,Current Dollars,Level,6,"19,758,504",T20600
238,T20600,A065RC,1,Personal income,2020M11,Current Dollars,Level,6,"19,610,389",T20600
239,T20600,A065RC,1,Personal income,2020M12,Current Dollars,Level,6,"19,775,245",T20600
240,T20600,A065RC,1,Personal income,2021M01,Current Dollars,Level,6,"21,760,925",T20600
241,T20600,A065RC,1,Personal income,2021M02,Current Dollars,Level,6,"20,253,984",T20600
242,T20600,A065RC,1,Personal income,2021M03,Current Dollars,Level,6,"24,471,757",T20600
243,T20600,A065RC,1,Personal income,2021M04,Current Dollars,Level,6,"21,304,248",T20600
244,T20600,A065RC,1,Personal income,2021M05,Current Dollars,Level,6,"20,899,706",T20600
245,T20600,A065RC,1,Personal income,2021M06,Current Dollars,Level,6,"20,934,278",T20600
246,T20600,A065RC,1,Personal income,2021M07,Current Dollars,Level,6,"21,156,526",T20600
247,T20600,A065RC,1,Personal income,2021M08,Current Dollars,Level,6,"21,207,263",T20600
248,T20600,A065RC,1,Personal income,2021M09,Current Dollars,Level,6,"21,051,198",T20600
249,T20600,A065RC,1,Personal income,2021M10,Current Dollars,Level,6,"21,201,443",T20600
250,T20600,A065RC,1,Personal income,2021M11,Current Dollars,Level,6,"21,297,741",T20600
251,T20600,A065RC,1,Personal income,2021M12,Current Dollars,Level,6,"21,352,878",T20600
252,T20600,A065RC,1,Personal income,2022M01,Current Dollars,Level,6,"21,294,808",T20600
253,T20600,A065RC,1,Personal income,2022M02,Current Dollars,Level,6,"21,426,237",T20600
254,T20600,A065RC,1,Personal income,2022M03,Current Dollars,Level,6,"21,510,542",T20600
255,T20600,A065RC,1,Personal income,2022M04,Current Dollars,Level,6,"21,581,276",T20600
256,T20600,A065RC,1,Personal income,2022M05,Current Dollars,Level,6,"21,657,084",T20600
257,T20600,A065RC,1,Personal income,2022M06,Current Dollars,Level,6,"21,740,722",T20600
258,T20600,A065RC,1,Personal income,2022M07,Current Dollars,Level,6,"21,910,512",T20600
259,T20600,A065RC,1,Personal income,2022M08,Current Dollars,Level,6,"22,024,254",T20600
260,T20600,A065RC,1,Personal income,2022M09,Current Dollars,Level,6,"22,121,534",T20600
261,T20600,A065RC,1,Personal income,2022M10,Current Dollars,Level,6,"22,242,215",T20600
262,T20600,A065RC,1,Personal income,2022M11,Current Dollars,Level,6,"22,267,695",T20600
263,T20600,A065RC,1,Personal income,2022M12,Current Dollars,Level,6,"22,312,321",T20600
264,T20600,A065RC,1,Personal income,2023M01,Current Dollars,Level,6,"22,525,327",T20600
265,T20600,A065RC,1,Personal income,2023M02,Current Dollars,Level,6,"22,648,402",T20600
266,T20600,A065RC,1,Personal income,2023M03,Current Dollars,Level,6,"22,757,933",T20600
267,T20600,A065RC,1,Personal income,2023M04,Current Dollars,Level,6,"22,806,084",T20600
268,T20600,A065RC,1,Personal income,2023M05,Current Dollars,Level,6,"22,876,623",T20600
269,T20600,A065RC,1,Personal income,2023M06,Current Dollars,Level,6,"22,921,353",T20600
270,T20600,A065RC,1,Personal income,2023M07,Current Dollars,Level,6,"22,972,351",T20600
271,T20600,A065RC,1,Personal income,2023M08,Current Dollars,Level,6,"23,071,685",T20600
272,T20600,A065RC,1,Personal income,2023M09,Current Dollars,Level,6,"23,148,508",T20600
273,T20600,A065RC,1,Personal income,2023M10,Current Dollars,Level,6,"23,209,457",T20600
274,T20600,A065RC,1,Personal income,2023M11,Current Dollars,Level,6,"23,298,807",T20600
275,T20600,A065RC,1,Personal income,2023M12,Current Dollars,Level,6,"23,358,795",T20600
276,T20600,A033RC,2,Compensation of employees,2001M01,Current Dollars,Level,6,"6,022,606",T20600
277,T20600,A033RC,2,Compensation of employees,2001M02,Current Dollars,Level,6,"6,055,399",T20600
278,T20600,A033RC,2,Compensation of employees,2001M03,Current Dollars,Level,6,"6,072,371",T20600
279,T20600,A033RC,2,Compensation of employees,2001M04,Current Dollars,Level,6,"6,048,838",T20600
280,T20600,A033RC,2,Compensation of employees,2001M05,Current Dollars,Level,6,"6,037,434",T20600
281,T20600,A033RC,2,Compensation of employees,2001M06,Current Dollars,Level,6,"6,036,486",T20600
282,T20600,A033RC,2,Compensation of employees,2001M07,Current Dollars,Level,6,"6,028,793",T20600
283,T20600,A033RC,2,Compensation of employees,2001M08,Current Dollars,Level,6,"6,022,934",T20600
284,T20600,A033RC,2,Compensation of employees,2001M09,Current Dollars,Level,6,"6,021,973",T20600
285,T20600,A033RC,2,Compensation of employees,2001M10,Current Dollars,Level,6,"6,026,150",T20600
286,T20600,A033RC,2,Compensation of employees,2001M11,Current Dollars,Level,6,"6,038,799",T20600
287,T20600,A033RC,2,Compensation of employees,2001M12,Current Dollars,Level,6,"6,048,399",T20600
288,T20600,A033RC,2,Compensation of employees,2002M01,Current Dollars,Level,6,"6,048,961",T20600
289,T20600,A033RC,2,Compensation of employees,2002M02,Current Dollars,Level,6,"6,053,579",T20600
290,T20600,A033RC,2,Compensation of employees,2002M03,Current Dollars,Level,6,"6,079,656",T20600
291,T20600,A033RC,2,Compensation of employees,2002M04,Current Dollars,Level,6,"6,102,784",T20600
292,T20600,A033RC,2,Compensation of employees,2002M05,Current Dollars,Level,6,"6,125,598",T20600
293,T20600,A033RC,2,Compensation of employees,2002M06,Current Dollars,Level,6,"6,159,037",T20600
294,T20600,A033RC,2,Compensation of employees,2002M07,Current Dollars,Level,6,"6,139,792",T20600
295,T20600,A033RC,2,Compensation of employees,2002M08,Current Dollars,Level,6,"6,158,128",T20600
296,T20600,A033RC,2,Compensation of employees,2002M09,Current Dollars,Level,6,"6,172,780",T20600
297,T20600,A033RC,2,Compensation of employees,2002M10,Current Dollars,Level,6,"6,186,533",T20600
